timestamp,session_label,site_name,scanner_name,scanner_id,test_name,value,unit,criteria,status,details,source_file,sequence_label
2026-04-02T14:16:35,IEC Constancy QC,LIMASSOL GENERAL HOSPITAL,SOMATOM go.Top,limassol_general_hospital_somatom_go_top,Water Value,1.67,HU,Worst absolute central ROI CT number within tolerance,PASS,"Worst slice 6 water value = -1.670 HU; reference -1.820 HU; tolerance [-6,5.18]. All slices: S1=0.950 HU [-6,6] PASS; S2=-0.100 HU [-6,6] PASS; S3=0.210 HU [-6,6] PASS; S4=0.190 HU [-6,5.52] PASS; S5=-1.210 HU [-6,3.84] PASS; S6=-1.670 HU [-6,5.18] PASS",IEC constancy.pdf,Typical body and 70 kV
2026-04-02T14:16:35,IEC Constancy QC,LIMASSOL GENERAL HOSPITAL,SOMATOM go.Top,limassol_general_hospital_somatom_go_top,Water Value,2.23,HU,Worst absolute central ROI CT number within tolerance,PASS,"Worst slice 6 water value = 2.230 HU; reference 1.090 HU; tolerance [-5.91,6]. All slices: S1=0.130 HU [-6,6] PASS; S2=-0.030 HU [-6,6] PASS; S3=1.600 HU [-6,6] PASS; S4=0.740 HU [-6,6] PASS; S5=0.580 HU [-6,6] PASS; S6=2.230 HU [-5.91,6] PASS",IEC constancy.pdf,Typical body and 100 kV
2026-04-02T14:16:35,IEC Constancy QC,LIMASSOL GENERAL HOSPITAL,SOMATOM go.Top,limassol_general_hospital_somatom_go_top,Water Value,0.92,HU,Worst absolute central ROI CT number within tolerance,PASS,"Worst slice 3 water value = 0.920 HU; reference 0.200 HU; tolerance [-4,4]. All slices: S1=0.330 HU [-4,4] PASS; S2=0.120 HU [-4,4] PASS; S3=0.920 HU [-4,4] PASS; S4=0.070 HU [-4,4] PASS; S5=-0.350 HU [-4,4] PASS; S6=0.400 HU [-4,4] PASS",IEC constancy.pdf,Typical body mode
2026-04-02T14:16:35,IEC Constancy QC,LIMASSOL GENERAL HOSPITAL,SOMATOM go.Top,limassol_general_hospital_somatom_go_top,Homogeneity,0.86,HU,Max peripheral-centre difference within ±4 HU,PASS,"Worst slice 5 Diff.6 = 0.860 HU; tolerance [-4,4]. All differences: S1 Diff.3=0.100 HU [-4,4] PASS; S1 Diff.6=0.020 HU [-4,4] PASS; S1 Diff.9=-0.280 HU [-4,4] PASS; S1 Diff.12=-0.020 HU [-4,4] PASS; S2 Diff.3=0.160 HU [-4,4] PASS; S2 Diff.6=0.420 HU [-4,4] PASS; S2 Diff.9=0.170 HU [-4,4] PASS; S2 Diff.12=0.380 HU [-4,4] PASS; S3 Diff.3=-0.430 HU [-4,4] PASS; S3 Diff.6=-0.200 HU [-4,4] PASS; S3 Diff.9=-0.480 HU [-4,4] PASS; S3 Diff.12=-0.680 HU [-4,4] PASS; S4 Diff.3=0.510 HU [-4,4] PASS; S4 Diff.6=0.390 HU [-4,4] PASS; S4 Diff.9=0.420 HU [-4,4] PASS; S4 Diff.12=0.270 HU [-4,4] PASS; S5 Diff.3=0.780 HU [-4,4] PASS; S5 Diff.6=0.860 HU [-4,4] PASS; S5 Diff.9=0.700 HU [-4,4] PASS; S5 Diff.12=0.740 HU [-4,4] PASS; S6 Diff.3=0.280 HU [-4,4] PASS; S6 Diff.6=0.130 HU [-4,4] PASS; S6 Diff.9=-0.020 HU [-4,4] PASS; S6 Diff.12=0.430 HU [-4,4] PASS",IEC constancy.pdf,Typical body mode
2026-04-02T14:16:35,IEC Constancy QC,LIMASSOL GENERAL HOSPITAL,SOMATOM go.Top,limassol_general_hospital_somatom_go_top,Water Value,1.38,HU,Worst absolute central ROI CT number within tolerance,PASS,"Worst slice 3 water value = 1.380 HU; reference 0.970 HU; tolerance [-6,6]. All slices: S1=0.550 HU [-6,6] PASS; S2=0.750 HU [-6,6] PASS; S3=1.380 HU [-6,6] PASS; S4=0.840 HU [-6,6] PASS; S5=0.440 HU [-6,6] PASS; S6=1.060 HU [-6,6] PASS",IEC constancy.pdf,Typical body and 140 kV
2026-04-02T14:16:35,IEC Constancy QC,LIMASSOL GENERAL HOSPITAL,SOMATOM go.Top,limassol_general_hospital_somatom_go_top,Water Value,1.52,HU,Worst absolute central ROI CT number within tolerance,PASS,"Worst slice 3 water value = 1.520 HU; reference 1.110 HU; tolerance [-3.89,4]. All slices: S1=0.870 HU [-4,4] PASS; S2=1.050 HU [-4,4] PASS; S3=1.520 HU [-3.89,4] PASS; S4=1.390 HU [-4,4] PASS; S5=1.060 HU [-4,4] PASS; S6=1.360 HU [-3.98,4] PASS",IEC constancy.pdf,Typical pediatric body mode
2026-04-02T14:16:35,IEC Constancy QC,LIMASSOL GENERAL HOSPITAL,SOMATOM go.Top,limassol_general_hospital_somatom_go_top,Homogeneity,1.18,HU,Max peripheral-centre difference within ±4 HU,PASS,"Worst slice 3 Diff.3 = -1.180 HU; tolerance [-4,4]. All differences: S1 Diff.3=-0.500 HU [-4,4] PASS; S1 Diff.6=-0.720 HU [-4,4] PASS; S1 Diff.9=-0.470 HU [-4,4] PASS; S1 Diff.12=-0.260 HU [-4,4] PASS; S2 Diff.3=-0.680 HU [-4,4] PASS; S2 Diff.6=-0.670 HU [-4,4] PASS; S2 Diff.9=-0.740 HU [-4,4] PASS; S2 Diff.12=-0.550 HU [-4,4] PASS; S3 Diff.3=-1.180 HU [-4,4] PASS; S3 Diff.6=-1.160 HU [-4,4] PASS; S3 Diff.9=-1.080 HU [-4,4] PASS; S3 Diff.12=-1.030 HU [-4,4] PASS; S4 Diff.3=-0.150 HU [-4,4] PASS; S4 Diff.6=-0.430 HU [-4,4] PASS; S4 Diff.9=-0.330 HU [-4,4] PASS; S4 Diff.12=-0.140 HU [-4,4] PASS; S5 Diff.3=0.090 HU [-4,4] PASS; S5 Diff.6=0.160 HU [-4,4] PASS; S5 Diff.9=0.190 HU [-4,4] PASS; S5 Diff.12=0.090 HU [-4,4] PASS; S6 Diff.3=-0.480 HU [-4,4] PASS; S6 Diff.6=-0.290 HU [-4,4] PASS; S6 Diff.9=-0.060 HU [-4,4] PASS; S6 Diff.12=-0.270 HU [-4,4] PASS",IEC constancy.pdf,Typical pediatric body mode
2026-04-02T14:16:35,IEC Constancy QC,LIMASSOL GENERAL HOSPITAL,SOMATOM go.Top,limassol_general_hospital_somatom_go_top,Water Value,1.08,HU,Worst absolute central ROI CT number within tolerance,PASS,"Worst slice 6 water value = -1.080 HU; reference -0.590 HU; tolerance [-6,6]. All slices: S1=1.040 HU [-6,6] PASS; S2=0.200 HU [-6,6] PASS; S3=0.100 HU [-6,6] PASS; S4=-0.140 HU [-6,6] PASS; S5=-1.010 HU [-6,5.81] PASS; S6=-1.080 HU [-6,6] PASS",IEC constancy.pdf,Typical pediatric body and 70 kV
2026-04-02T14:16:35,IEC Constancy QC,LIMASSOL GENERAL HOSPITAL,SOMATOM go.Top,limassol_general_hospital_somatom_go_top,Water Value,0.91,HU,Worst absolute central ROI CT number within tolerance,PASS,"Worst slice 1 water value = 0.910 HU; reference 0.410 HU; tolerance [-6,6]. All slices: S1=0.910 HU [-6,6] PASS; S2=0.680 HU [-6,6] PASS; S3=0.280 HU [-6,6] PASS; S4=0.010 HU [-6,6] PASS; S5=-0.340 HU [-6,6] PASS; S6=0.180 HU [-6,6] PASS",IEC constancy.pdf,Typical pediatric body and 80 kV
2026-04-02T14:16:35,IEC Constancy QC,LIMASSOL GENERAL HOSPITAL,SOMATOM go.Top,limassol_general_hospital_somatom_go_top,Water Value,0.45,HU,Worst absolute central ROI CT number within tolerance,PASS,"Worst slice 3 water value = 0.450 HU; reference 0.130 HU; tolerance [-4,4]. All slices: S1=0.270 HU [-4,4] PASS; S2=0.030 HU [-4,4] PASS; S3=0.450 HU [-4,4] PASS; S4=-0.050 HU [-4,4] PASS; S5=-0.080 HU [-4,4] PASS; S6=0.050 HU [-4,4] PASS",IEC constancy.pdf,Typical head mode
